TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""Adiamento da 47ª Feira do Bordado de Ibitinga""";20200181500003;17/06/2020;17/06/2020;17/06/2021;EXPIRADO;;Comércio de Ibitinga;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;SISTEMA IBITINGA DE COMUNICAÇÃO EIRELI;JEAN CARLOS NEVES GOMES;;NÃO INFORMADO;MUNICIPIO DA ESTANCIA TURISTICA DE IBITINGA;45.321.460/0001-50;SISTEMA IBITINGA DE COMUNICAÇÃO EIRELI;42825;13.282.542/0001-46;SP;IBITINGA
#OUSE AMAR;20200176940009;12/06/2020;23/06/2020;12/06/2021;EXPIRADO;;#OUSE AMAR;COMUM;5;20200176940014|20200176940022|20200176940030|20200176940049|20200176940057;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;OUTROS MERCADOS;210;BUFALOS PRODUÇÕES LTDA;GUILBER CLAYTON HIDAKA;;NÃO INFORMADO;CAIXA SEGURADORA S/A;34.020.354/0001-10;BUFALOS PRODUÇÕES LTDA;26818;19.991.248/0001-90;SP;BARUERI
040620 TEASER DIA E;20200163880002;01/06/2020;01/06/2020;01/06/2021;EXPIRADO;;Promocional;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;DILVANA BORGES - ME;JACSON ANDREOLA;T12 COMUNICACAO LTDA. - EPP;78.659.661/0001-10;MASTER ATS SUPERMERCADOS;01.874.166/0015-03;DILVANA BORGES - ME;36511;27.550.830/0001-49;SC;CHAPECO
050620 OF DIAE 1;20200168060003;04/06/2020;04/06/2020;04/06/2021;EXPIRADO;;Promocional;COMUM;30;20200168060019|20200168060027|20200168060035|20200168060043|20200168060051|20200168060060|20200168060078|20200168060086|20200168060094|20200168060108|20200168060116|20200168060124|20200168060132|20200168060140|20200168060159|20200168060167|20200168060175|20200168060183|20200168060191|20200168060205|20200168060213|20200168060221|20200168060230|20200168060248|20200168060256|20200168060264|20200168060272|20200168060280|20200168060299|20200168060302;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;DILVANA BORGES - ME;JACSON ANDREOLA;T12 COMUNICACAO LTDA. - EPP;78.659.661/0001-10;MASTER ATS SUPERMERCADOS;01.874.166/0015-03;DILVANA BORGES - ME;36511;27.550.830/0001-49;SC;CHAPECO
0620 PROJUN;20200166930000;03/06/2020;03/06/2020;03/06/2021;EXPIRADO;;Institucional;TELEVENDA / INFOMERCIAL;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);15;CLAITON LUIZ DOS SANTOS ***********;CLAITON LUIZ DOS SANTOS;ADEMIR PAULO TRIQUES PUBLICIDADE;35.460.657/0001-16;TRUYLIA & TRUYLIA LTDA;02.313.091/0001-40;CLAITON LUIZ DOS SANTOS ***********;43974;33.658.570/0001-22;RS;ERECHIM
1 ANO DR PREMIUM;20200169660004;05/06/2020;05/06/2020;05/06/2021;EXPIRADO;BRASIL;ODONTOLOGIA;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA ESTRANGEIRA;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;;;TURANO MARKETING LTDA;07.102.272/0001-41;ASSOCIAÇÃO REDE PREMIUM DE ODONTOLOGIA;34.922.764/0001-56;TURANO MARKETING LTDA;6034;07.102.272/0001-41;MG;MONTES CLAROS
1 Diferenciais;20200178010009;15/06/2020;15/06/2020;15/06/2021;EXPIRADO;;Plano de Saúde;COMUM;3;20200178010014|20200178010022|20200178010030;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;JOB FILMES & PRODUCOES EIRELI;HUMBERTO LOPES DOS REIS NETO;ARMACAO PROPAGANDA LTDA - EPP;09.113.457/0001-87;HUMANA ASSISTENCIA MEDICA LTDA;00.361.325/0001-08;JOB FILMES & PRODUCOES EIRELI;37839;28.634.839/0001-09;RN;NATAL
150 Granado Familia;20200176280009;12/06/2020;13/06/2020;12/06/2021;EXPIRADO;;Institucional Granado;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);30;MANGAJINGLE PRODUÇÕES FONOGRÁFICAS LTDA;HIGO LOPES ALCANTARA LIMA;;NÃO INFORMADO;PONTELAND DISTRIBUICAO SA;04.247.792/0001-54;MANGAJINGLE PRODUÇÕES FONOGRÁFICAS LTDA;23457;07.057.186/0001-64;RJ;RIO DE JANEIRO
163 Anos Moc;20200184910008;22/06/2020;22/06/2020;22/06/2021;EXPIRADO;;Institucional;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);30;HUDSON K. VIEIRA FILMES PRODUÇÕES;HUDSON KLEBER VIEIRA;ALKMIM PROPAGANDA & OLIVEIRA PUBLICIDADE LTDA - ME;21.581.105/0001-51;GUEDES & PAIXAO LTDA;16.928.871/0001-00;HUDSON K. VIEIRA FILMES PRODUÇÕES;12500;08.646.534/0001-00;MG;MONTES CLAROS
20110412000191;20200165910006;02/06/2020;11/06/2020;02/06/2021;EXPIRADO;;TV POR ASSINATURA;COMUM;5;20200165910011|20200165910020|20200165910038|20200165910046|20200165910054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);60;BLUES CONTENT PRODUÇÕES LTDA.;SAMUEL GONCALVES COSTA;;NÃO INFORMADO;SKY SERVICOS DE BANDA LARGA LTDA.;00.497.373/0001-10;BLUES CONTENT PRODUÇÕES LTDA.;28196;20.110.412/0001-91;SP;SAO PAULO
